"levelName"
"Power Control Unit                        "
" ¦--Base plate module                     "
" ¦   ¦--ACS thruster 1                    "
" ¦   ¦--ACS thruster 2                    "
" ¦   ¦--ACS thruster 3                    "
" ¦   ¦--ACS thruster 4                    "
" ¦   ¦--ACS thruster 5                    "
" ¦   ¦--ACS thruster 6                    "
" ¦   ¦--Avionics stack section            "
" ¦   ¦--Base plate                        "
" ¦   ¦--Battery pack 1                    "
" ¦   ¦--Battery pack 2                    "
" ¦   ¦--Battery pack 3                    "
" ¦   ¦--GPS antenna                       "
" ¦   ¦--Magnetometer                      "
" ¦   ¦--Primary thruster                  "
" ¦   ¦--Propellant handling section       "
" ¦   ¦--Reaction wheel 1                  "
" ¦   ¦--Reaction wheel 2                  "
" ¦   ¦--Reaction wheel 3                  "
" ¦   °--Reaction wheel 4                  "
" ¦--Avionics stack section                "
" ¦   ¦--ADCS electronics unit             "
" ¦   ¦--EPS regulators and converters unit"
" ¦   ¦--GPS receiver unit                 "
" ¦   ¦--Magnetorquer 1                    "
" ¦   ¦--Magnetorquer 2                    "
" ¦   ¦--Magnetorquer 3                    "
" ¦   ¦--Primary flight computer unit      "
" ¦   ¦--Propulsion system control unit    "
" ¦   ¦--Receiver unit                     "
" ¦   °--Transmitter unit                  "
" ¦--Firesat spacecraft system segment     "
" ¦   ¦--Base plate module                 "
" ¦   ¦--Launch vehicle interface module   "
" ¦   ¦--Payload module                    "
" ¦   ¦--Propulsion module                 "
" ¦   ¦--Side panel 1                      "
" ¦   ¦--Side panel 2                      "
" ¦   ¦--Side panel 3                      "
" ¦   ¦--Side panel 4                      "
" ¦   ¦--Side panel 5                      "
" ¦   ¦--Side panel 6                      "
" ¦   ¦--Solar array with SADA 1           "
" ¦   ¦--Solar array with SADA 2           "
" ¦   ¦--Thermal blankets                  "
" ¦   °--Top panel module                  "
" ¦--Propellant handling section           "
" ¦   ¦--BP propellant line unit           "
" ¦   °--Fill                              "
" ¦       °--Drain valve unit              "
" ¦--Top panel module                      "
" ¦   ¦--Earth sensor                      "
" ¦   ¦--Receive whip antenna              "
" ¦   ¦--Structure post 1                  "
" ¦   ¦--Structure post 2                  "
" ¦   ¦--Structure post 3                  "
" ¦   ¦--Structure post 4                  "
" ¦   ¦--Structure post 5                  "
" ¦   ¦--Structure post 6                  "
" ¦   ¦--Sun sensor                        "
" ¦   ¦--Top panel                         "
" ¦   ¦--Transmit hi-gain antenna          "
" ¦   °--Transmit whip antenna             "
" ¦--Payload module                        "
" ¦   ¦--Payload structural interface      "
" ¦   °--Sensor                            "
" ¦--Propulsion module                     "
" ¦   ¦--PM propellant line unit           "
" ¦   ¦--Pressurant tank                   "
" ¦   ¦--Pressurant tank mounting panel    "
" ¦   ¦--Propellant tank                   "
" ¦   ¦--Propellant tank mounting panel    "
" ¦   ¦--Propulsion structure post 1       "
" ¦   ¦--Propulsion structure post 2       "
" ¦   ¦--Propulsion structure post 3       "
" ¦   °--Propulsion structure post 4       "
" °--Launch vehicle interface module       "
"     °--Separation system                 "
