"Node","WorkBench","MagicDraw"
"ADCS Control Electronics","","x"
"Attitude Determination and Control System and Guidance, Navigation and Control","x","x"
"Attitude Determination and Control System Control Electronics","x",""
"Battery (24 cells)","x","x"
"Coatings and Blankets","x","x"
"Command and Data Handling","x","x"
"Communications","x",""
"COMmunications","","x"
"Data Harness","x","x"
"Earth Sensor","x","x"
"Electrical Power System","x","x"
"Electrical Power System Harness","x","x"
"FIREsat space segment","","x"
"GPS Antenna","x",""
"GPS Receiver","x","x"
"Helium Fill and Drain Valve","x","x"
"Helium Regulator","x","x"
"Helium Tank Isolation Valve","x","x"
"Launch Vehicle Adapter","x","x"
"Lines and Fittings","x",""
"Lines and Fittings (6.35mm outside diameter line)","","x"
"Magnetometer","x",""
"Magnetorquers","x","x"
"Mixed Oxides of Nitrogen fill and drain valve","x","x"
"Mixed Oxides of Nitrogen Tank Isolation Valve","x","x"
"Orbit Control Engine","x","x"
"Payload","x","x"
"Power Control Unit","x","x"
"PreSsurant Tank (including gas)","x","x"
"Primary Flight Computer","x","x"
"Primary Structure","x","x"
"Propellant","x","x"
"ProPellant Tank","x","x"
"Propulsion","x",""
"PROpulsion","","x"
"Propulsion Electronics","x","x"
"Reaction Control Engines","x","x"
"Reaction Wheels","x","x"
"Receive Antenna","x","x"
"Receiver","x","x"
"Regulators and Converters","x","x"
"Secondary Structure","x","x"
"Separation System","x","x"
"Solar Array Drive Assemblies","x","x"
"Solar Arrays","x","x"
"Structures and mechanisms","x",""
"Structures and Mechanisms","","x"
"Sun Sensor","x","x"
"Thermal Control","x","x"
"Transmit Antenna","x","x"
"Transmitter (including high power antenna)","x","x"
