"Child","Parent","WorkBench","MagicDraw"
"ACS Thruster","Propulsion","x",""
"ADCS Control Electronics","Attitude Determination and Control System and Guidance, Navigation and Control","","x"
"ADCS Electronics Unit","Attitude Determination and Control System and Guidance, Navigation and Control","x",""
"Attitude Determination and Control System and Guidance, Navigation and Control","FIREsat space segment","","x"
"Avionics Stack Section","Command and Data Handling","x",""
"Base Plate","Command and Data Handling","x",""
"Base Plate Module","Command and Data Handling","x",""
"Battery (24 cells)","Electrical Power System","","x"
"Battery Pack","Electrical Power System","x",""
"Battery Support","Electrical Power System","x",""
"BP Propellant Line Unit","Propulsion","x",""
"Coatings and Blankets","Thermal Control","","x"
"Command and Data Handling","FIREsat space segment","","x"
"COMmunications","FIREsat space segment","","x"
"Data Harness","Command and Data Handling","","x"
"Earth Sensor","Attitude Determination and Control System and Guidance, Navigation and Control","x","x"
"Electrical Power System","FIREsat space segment","","x"
"Electrical Power System Harness","Structures and Mechanisms","","x"
"EPS Regulators and Converters Unit","Structures and Mechanisms","x",""
"Fill/Drain Valve Unit","Propulsion","x",""
"Firesat Spacecraft System Segment","Firesat Flight System","x",""
"GPS Antenna","Attitude Determination and Control System and Guidance, Navigation and Control","x",""
"GPS Receiver","Attitude Determination and Control System and Guidance, Navigation and Control","","x"
"GPS Receiver Unit","Attitude Determination and Control System and Guidance, Navigation and Control","x",""
"Helium Fill and Drain Valve","PROpulsion","","x"
"Helium Regulator","PROpulsion","","x"
"Helium Tank Isolation Valve","PROpulsion","","x"
"Launch Vehicle Adapter","Command and Data Handling","x","x"
"Launch Vehicle Interface Module","Command and Data Handling","x",""
"Lines and Fittings (6.35mm outside diameter line)","PROpulsion","","x"
"Magnetometer","Attitude Determination and Control System and Guidance, Navigation and Control","x",""
"Magnetorquer","Attitude Determination and Control System and Guidance, Navigation and Control","x",""
"Magnetorquers","Attitude Determination and Control System and Guidance, Navigation and Control","","x"
"Mixed Oxides of Nitrogen fill and drain valve","PROpulsion","","x"
"Mixed Oxides of Nitrogen Tank Isolation Valve","PROpulsion","","x"
"Orbit Control Engine","PROpulsion","","x"
"Payload","FIREsat space segment","","x"
"Payload Module","Payload","x",""
"Payload Structural Interface","Command and Data Handling","x",""
"PM Propellant Line Unit","Propulsion","x",""
"Power Control Unit","Structures and Mechanisms","x","x"
"Pressurant Tank","Propulsion","x",""
"PreSsurant Tank (including gas)","PROpulsion","","x"
"Pressurant Tank Mounting Panel","Command and Data Handling","x",""
"Primary Flight Computer","Command and Data Handling","","x"
"Primary Flight Computer Unit","Command and Data Handling","x",""
"Primary Structure","Command and Data Handling","","x"
"Primary Thruster","Propulsion","x",""
"Propellant","FIREsat space segment","","x"
"Propellant Handling Section","Propulsion","x",""
"Propellant Tank","Propulsion","x",""
"ProPellant Tank","PROpulsion","","x"
"Propellant Tank Mounting Panel","Command and Data Handling","x",""
"PROpulsion","FIREsat space segment","","x"
"Propulsion Electronics","PROpulsion","","x"
"Propulsion Module","Propulsion","x",""
"Propulsion Structure Post","Command and Data Handling","x",""
"Propulsion System Control Unit","Propulsion","x",""
"Reaction Control Engines","PROpulsion","","x"
"Reaction Wheel","Attitude Determination and Control System and Guidance, Navigation and Control","x",""
"Reaction Wheels","Attitude Determination and Control System and Guidance, Navigation and Control","","x"
"Receive Antenna","COMmunications","","x"
"Receive Whip Antenna","Communications","x",""
"Receiver","COMmunications","","x"
"Receiver Unit","Communications","x",""
"Regulators and Converters","Structures and Mechanisms","","x"
"Secondary Structure","Command and Data Handling","","x"
"Sensor","Payload","x",""
"Separation System","Command and Data Handling","x","x"
"Side Panel","Command and Data Handling","x",""
"Solar Array Drive Assemblies","Command and Data Handling","","x"
"Solar Array with SADA","Structures and Mechanisms","x",""
"Solar Arrays","Structures and Mechanisms","","x"
"Structure Post","Command and Data Handling","x",""
"Structures and Mechanisms","FIREsat space segment","","x"
"Sun Sensor","Attitude Determination and Control System and Guidance, Navigation and Control","x","x"
"Thermal Blankets","Thermal Control","x",""
"Thermal Control","FIREsat space segment","","x"
"Top Panel","Command and Data Handling","x",""
"Top Panel Module","Command and Data Handling","x",""
"Transmit Antenna","COMmunications","","x"
"Transmit Hi-Gain Antenna","Communications","x",""
"Transmit Whip Antenna","Communications","x",""
"Transmitter (including high power antenna)","COMmunications","","x"
"Transmitter Unit","Communications","x",""
