"Node","WorkBench","MagicDraw"
"ACS Thruster","x",""
"ADCS Control Electronics","","x"
"ADCS Electronics Unit","x",""
"Attitude Determination and Control System and Guidance, Navigation and Control","x","x"
"Avionics Stack Section","x",""
"Base Plate","x",""
"Base Plate Module","x",""
"Battery (24 cells)","","x"
"Battery Pack","x",""
"Battery Support","x",""
"BP Propellant Line Unit","x",""
"Coatings and Blankets","","x"
"Command and Data Handling","x","x"
"Communications","x",""
"COMmunications","","x"
"Data Harness","","x"
"Earth Sensor","x","x"
"Electrical Power System","x","x"
"Electrical Power System Harness","","x"
"EPS Regulators and Converters Unit","x",""
"Fill/Drain Valve Unit","x",""
"Firesat Flight System","x",""
"FIREsat space segment","","x"
"Firesat Spacecraft System Segment","x",""
"GPS Antenna","x",""
"GPS Receiver","","x"
"GPS Receiver Unit","x",""
"Helium Fill and Drain Valve","","x"
"Helium Regulator","","x"
"Helium Tank Isolation Valve","","x"
"Launch Vehicle Adapter","x","x"
"Launch Vehicle Interface Module","x",""
"Lines and Fittings (6.35mm outside diameter line)","","x"
"Magnetometer","x",""
"Magnetorquer","x",""
"Magnetorquers","","x"
"Mixed Oxides of Nitrogen fill and drain valve","","x"
"Mixed Oxides of Nitrogen Tank Isolation Valve","","x"
"Orbit Control Engine","","x"
"Payload","x","x"
"Payload Module","x",""
"Payload Structural Interface","x",""
"PM Propellant Line Unit","x",""
"Power Control Unit","x","x"
"Pressurant Tank","x",""
"PreSsurant Tank (including gas)","","x"
"Pressurant Tank Mounting Panel","x",""
"Primary Flight Computer","","x"
"Primary Flight Computer Unit","x",""
"Primary Structure","","x"
"Primary Thruster","x",""
"Propellant","","x"
"Propellant Handling Section","x",""
"Propellant Tank","x",""
"ProPellant Tank","","x"
"Propellant Tank Mounting Panel","x",""
"Propulsion","x",""
"PROpulsion","","x"
"Propulsion Electronics","","x"
"Propulsion Module","x",""
"Propulsion Structure Post","x",""
"Propulsion System Control Unit","x",""
"Reaction Control Engines","","x"
"Reaction Wheel","x",""
"Reaction Wheels","","x"
"Receive Antenna","","x"
"Receive Whip Antenna","x",""
"Receiver","","x"
"Receiver Unit","x",""
"Regulators and Converters","","x"
"Secondary Structure","","x"
"Sensor","x",""
"Separation System","x","x"
"Side Panel","x",""
"Solar Array Drive Assemblies","","x"
"Solar Array with SADA","x",""
"Solar Arrays","","x"
"Structure Post","x",""
"Structures and Mechanisms","x","x"
"Sun Sensor","x","x"
"Thermal Blankets","x",""
"Thermal Control","x","x"
"Top Panel","x",""
"Top Panel Module","x",""
"Transmit Antenna","","x"
"Transmit Hi-Gain Antenna","x",""
"Transmit Whip Antenna","x",""
"Transmitter (including high power antenna)","","x"
"Transmitter Unit","x",""
